,positions
78,r1bqkbnr/pp1ppp1p/n1p3p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
79,rnbqkb1r/ppp2ppp/5n2/3pp3/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 0 4
80,r2qkbnr/ppp1pppp/2np4/8/3PP1b1/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 4
81,rnbqkbnr/p2ppp1p/1p4p1/2p5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 4
82,rnbqkb1r/pp1ppp1p/5np1/2pP4/8/5N2/PPP1PPPP/RNBQK2R w KQkq - 0 4
83,rnbqkb1r/pp1ppppp/2p5/3nP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 0 4
84,rnbqk1nr/pp1pppbp/6p1/2p5/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 0 4
85,rnbqkb1r/pppp1p1p/4pnp1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
86,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 0 4
87,rnbqkb1r/1p1ppppp/p4n2/2pP4/2P5/8/PP2PPPP/RNBQK1NR w KQkq - 0 4
88,rnbqk1nr/pp1pppbp/2p3p1/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 0 4
89,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 4
90,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
91,rnbqkbnr/pp1p1pp1/4p2p/2p5/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 4
92,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 2 4
93,rnb1kbnr/pp1p1ppp/2p5/q3p3/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq - 2 4
94,r1bqkbnr/pp2pppp/2n5/2pp4/2P5/4PN2/PP1P1PPP/RN1QKB1R w KQkq - 0 4
95,rnbqk2r/ppppppbp/5np1/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
96,rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
97,rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQK1NR w KQkq - 1 4
98,rn1qkbnr/p1pp1ppp/bp2p3/8/2PP4/P7/1P2PPPP/RN1QKBNR w KQkq - 1 4
99,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RNBQK1NR w KQkq - 0 4
100,rnbqkb1r/1ppp1ppp/p3pn2/8/2PPP3/8/PP3PPP/RN1QKBNR w KQkq - 1 4
101,rnbqkbnr/1p2pppp/p1p5/3p4/3PP3/8/PPPN1PPP/R2QKBNR w KQkq - 0 4
102,rnb1kb1r/pp1ppppp/2p2n2/q7/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 4
103,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
104,r1bqkb1r/ppp1pppp/2np1n2/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 2 4
105,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 2 4
106,rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
107,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
108,rnbqkb1r/ppp1nppp/4p3/3p4/3PP3/8/PPPN1PPP/R2QKBNR w KQkq - 2 4
109,rn1qkbnr/ppp2ppp/3p4/4p3/2P3b1/2N2N2/PP1PPPPP/R2QKB1R w KQkq - 2 4
110,rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
111,r1bqkbnr/pppn1ppp/3pp3/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 4
112,r1bqkbnr/ppp2ppp/2n1p3/3p4/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
113,rnbqk1nr/pp1pppbp/2p3p1/8/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 2 4
114,r1b1kbnr/pp1ppppp/2n5/q1p5/4P3/2P2N2/PP1P1PPP/RN1QKB1R w KQkq - 3 4
115,rnbqkb1r/ppp2ppp/3ppn2/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
116,rnbqkb1r/1pp1pppp/p2p1n2/8/3P4/2N2N2/PPP1PPPP/R1BQK2R w KQkq - 0 4
117,rnbqkbnr/pp1p1p1p/6p1/2p1p3/2P5/2NP4/PP2PPPP/R1BQK1NR w KQkq - 0 4
118,r1bqkbnr/pppn1ppp/3p4/4p3/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 2 4
119,rnb1kb1r/pp1ppppp/2p2n2/q7/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 2 4
120,rnb1kbnr/ppq1pppp/3p4/2p5/3PP3/2P5/PP3PPP/RN1QKBNR w KQkq - 1 4
121,r2qkbnr/ppp1pppp/2np4/8/3PP1b1/5N2/PPP2PPP/RN1QKB1R w KQkq - 1 4
122,rn1qkbnr/ppp1pp1p/3p2p1/8/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
123,rnbqkb1r/p1pp1ppp/1p2pn2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 1 4
124,r1bqkbnr/pp1npppp/2pp4/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
125,rn1qkbnr/pp1bpppp/3p4/2p5/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
126,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 3 4
127,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
128,r1bqkbnr/ppp1pp1p/n2p2p1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 2 4
129,r2qkbnr/pppnpppp/3p4/8/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
130,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 1 4
131,rnbqkb1r/pp1ppp1p/5np1/2p5/2PP4/5P2/PP2P1PP/RNBQK1NR w KQkq - 0 4
132,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 1 4
133,rnbqkb1r/p1pp1ppp/1p2pn2/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
134,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 3 4
135,rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/8/PPP2PPP/RNBQK1NR w KQkq - 1 4
136,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
137,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPPQPPP/RNB1K2R w KQkq - 2 4
138,rnbqkb1r/pp1pnppp/2p1p3/8/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 2 4
139,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 4
140,rnbqkb1r/p1pp1ppp/1p2pn2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 4
141,rnbqk1nr/pp1pppbp/6p1/2p5/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
142,rn1qkbnr/p1pp1ppp/bp2p3/8/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
143,rn1qkbnr/ppp2ppp/3pp3/8/3P2b1/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 4
144,rnbqkb1r/pp1pp1pp/5n2/2pP1p2/8/2N5/PPP1PPPP/R2QKBNR w KQkq - 2 4
145,rnb1kbnr/ppq1pppp/2p5/3p4/3PP3/8/PPPN1PPP/R2QKBNR w KQkq - 2 4
146,rnbqkb1r/ppp2ppp/3ppn2/8/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
147,rnbqkb1r/pp1pp1pp/2p2n2/5p2/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 2 4
148,rnbqkbnr/pp3ppp/2pp4/4p3/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
149,rnbqkb1r/pppp1ppp/4p3/3nP3/8/5N2/PPPP1PPP/RNBQK2R w KQkq - 1 4
150,rnbqkbnr/pp3ppp/3pp3/2pP4/2P5/8/PP2PPPP/RNBQK1NR w KQkq - 0 4
151,rnbqkb1r/pp2pppp/2pp1n2/8/2P5/2N2N2/PP1PPPPP/R2QKB1R w KQkq - 0 4
152,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 4
153,rnb1kbnr/ppq1pppp/3p4/2p5/3PP3/2P5/PP3PPP/RNBQK1NR w KQkq - 1 4
154,rnb1kbnr/pp2pppp/3p4/q1p5/4P3/2P2N2/PP1P1PPP/RN1QKB1R w KQkq - 0 4
155,rnbqkb1r/p1p1pppp/1p1p1n2/8/3P4/5NP1/PPP1PP1P/RN1QKB1R w KQkq - 0 4
156,rnbqkbnr/ppp3pp/4p3/3p1p2/2PP4/6P1/PP2PP1P/RN1QKBNR w KQkq - 0 4
157,r1b1kbnr/pp1ppppp/2n5/q1p5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 3 4
158,rnbqk1nr/ppppb1pp/4p3/5p2/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 2 4
159,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 0 4
160,rnbqkb1r/pp1ppppp/2p5/3nP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 1 4
161,rnbqkbnr/pp2ppp1/2p4p/3p4/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 0 4
162,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
163,rnbqkb1r/p2ppppp/2p2n2/1p6/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
164,rnbqk1nr/pp1pppbp/6p1/2p5/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 1 4
165,rnbqkbnr/pp3ppp/3pp3/2p5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 4
166,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 2 4
167,r1bqkbnr/ppp2ppp/2np4/4p3/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 2 4
168,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
169,rnbqkbnr/p2p1ppp/1p2p3/2p5/2PP4/P7/1P2PPPP/RN1QKBNR w KQkq - 0 4
170,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
171,rnbqkbnr/ppp2p1p/3pp1p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
172,rnb1kb1r/ppppqppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 4 4
173,rn1qkb1r/ppp1pppp/3p1n2/8/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
174,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5P2/PPP3PP/RN1QKBNR w KQkq - 1 4
175,rnbqkbnr/ppp3pp/4p3/3p1p2/2P5/5NP1/PP1PPP1P/RN1QKB1R w KQkq - 0 4
176,rnbqkbnr/ppp2p1p/3p2p1/4p3/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 4
177,r2qkbnr/ppp1pppp/2np4/8/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
178,rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/5N2/PPPNPPPP/R1BQK2R w KQkq - 0 4
179,r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
180,rn1qkb1r/ppp1pppp/3p1n2/5b2/2P5/2N2N2/PP1PPPPP/R2QKB1R w KQkq - 2 4
181,r2qkbnr/ppp1pppp/2n5/3p4/3P2b1/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 4
182,rnbqkb1r/ppp1nppp/4p3/3p4/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 4
183,rnbqkb1r/pp2pppp/3p1n2/2pP4/8/5N2/PPP1PPPP/RNBQK2R w KQkq - 0 4
184,r1bqkbnr/pp1ppppp/8/2p5/2Pn4/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 3 4
185,rnbqkb1r/pppp1ppp/5n2/4p3/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 0 4
186,r1bqkbnr/ppp1pp1p/2np2p1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
187,rnbqk1nr/p1ppppbp/1p4p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
188,rnbqkbnr/1p1p1ppp/p1p1p3/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
189,r1bqkbnr/pppn1ppp/3pp3/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 4
190,rnbqkbnr/pp3ppp/4p3/2pp4/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 0 4
191,rnbqkb1r/p1p1pppp/1p1p1n2/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 4
192,rnbqkbnr/pp3ppp/2pp4/4p3/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq - 0 4
193,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
194,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/5P2/PPP3PP/RNBQK1NR w KQkq - 0 4
195,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 4
196,rnb1kb1r/ppppqppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R2QKB1R w KQkq - 4 4
197,r1bqkbnr/pppn1ppp/3p4/4p3/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 2 4
198,r1bqkb1r/pppppp1p/n4np1/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 1 4
199,rnbqkbnr/ppp1pppp/3p4/3P4/8/5N2/PPP1PPPP/RNBQK2R w KQkq - 1 4
200,rnbqkbnr/ppp3pp/4p3/3p1p2/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 4
201,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq - 2 4
202,r2qkbnr/pppnpppp/3p4/8/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
203,rnbqkb1r/pp1ppp1p/5np1/2p5/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
204,rn1qkbnr/pp2pppp/2pp4/8/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
205,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
206,rnbqk1nr/ppp1ppbp/3p2p1/8/3PPP2/8/PPP3PP/RNBQK1NR w KQkq - 1 4
207,rnbqkb1r/pp1p1ppp/4pn2/2pP4/2P5/8/PP2PPPP/RN1QKBNR w KQkq - 1 4
208,rnbqkbnr/1p2pppp/p1p5/3p4/2P5/4PN2/PP1P1PPP/RN1QKB1R w KQkq - 0 4
209,r2qkbnr/ppp1pppp/2n5/3p4/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 3 4
210,r1b1kbnr/pp1ppppp/2n5/q1p5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 1 4
211,rnbqk1nr/pp1p1ppp/4p3/2p5/1bPP4/8/PP1NPPPP/R1BQK1NR w KQkq - 0 4
212,r1bqkbnr/ppp2ppp/2n1p3/3p4/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 2 4
213,r1bqk1nr/pppp1ppp/2n5/2b1p3/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 4 4
214,rn1qkbnr/ppp2ppp/3p4/4p3/2P3b1/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 2 4
215,rnbqk1nr/ppp1ppbp/3p2p1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 1 4
216,r1bqkb1r/pppp1ppp/2n1pn2/8/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
217,rn1qkbnr/pb1ppppp/1p6/2p5/3PP3/2P5/PP3PPP/RNBQK1NR w KQkq - 1 4
218,rn1qkb1r/ppp1pppp/3p1n2/8/4P1b1/2N2N2/PPPP1PPP/R2QKB1R w KQkq - 1 4
219,rnbqkb1r/pp1ppppp/2p5/3nP3/3P4/8/PPP2PPP/RN1QKBNR w KQkq - 1 4
220,rnbqkb1r/pp1ppp1p/5np1/2pP4/2P5/8/PP2PPPP/RNBQK1NR w KQkq - 0 4
